"query"	"subject"	"identity"	"length"	"slength"	"qlength"
"2558008293"	"2558009112"	44.39	223	251	236
"2558008294"	"2558009113"	36.23	265	294	286
"2558008298"	"2558010023"	43.98	332	318	332
"2558008330"	"2558011877"	57.39	115	117	118
"2558008335"	"2558008727"	55.43	92	106	96
"2558008338"	"2558013480"	64.76	210	211	212
"2558008340"	"2558013306"	32.86	496	490	513
"2558008342"	"2558013201"	74.03	231	275	271
"2558008345"	"2558012812"	42.62	826	825	789
"2558008347"	"2558008403"	77.53	89	92	92
"2558008349"	"2558009006"	41.28	298	297	321
"2558008356"	"2558013085"	45.4	511	499	507
"2558008369"	"2558011473"	36.59	205	232	222
"2558008371"	"2558012313"	75.98	179	183	186
"2558008388"	"2558011639"	30.13	448	446	420
"2558008415"	"2558010605"	31.21	439	427	447
"2558008424"	"2558009740"	31.93	332	300	360
"2558008430"	"2558011923"	43.54	441	455	457
"2558008431"	"2558011922"	57.64	713	714	752
"2558008448"	"2558010076"	37.01	127	129	127
"2558008462"	"2558012809"	48.89	180	200	191
"2558008466"	"2558009565"	48.8	332	369	436
"2558008469"	"2558009566"	46.06	393	392	384
"2558008470"	"2558008537"	67.12	222	240	241
"2558008477"	"2558011559"	33.58	548	647	577
"2558008516"	"2558009789"	51.95	462	462	471
"2558008540"	"2558012444"	30.9	178	181	195
"2558008566"	"2558009693"	33.33	180	204	213
"2558008567"	"2558013182"	52.48	101	98	107
"2558008578"	"2558011123"	33.52	176	183	194
"2558008587"	"2558008589"	47.3	463	491	513
"2558008603"	"2558008612"	98.86	88	100	88
"2558008604"	"2558008613"	53.9	1076	1082	1069
"2558008606"	"2558010921"	32.63	475	541	543
"2558008622"	"2558011393"	52.22	293	308	323
"2558008629"	"2558011258"	86.88	526	546	543
"2558008630"	"2558011257"	75.49	102	104	104
"2558008632"	"2558011924"	48.06	129	157	178
"2558008646"	"2558010454"	51.05	333	336	332
"2558008652"	"2558011229"	35.74	277	300	319
"2558008689"	"2558008690"	70.72	321	323	322
"2558008702"	"2558009487"	62.73	432	429	437
"2558008704"	"2558011577"	50.77	130	125	138
"2558008726"	"2558012442"	52.63	266	289	315
"2558008728"	"2558011572"	64.08	206	211	210
"2558008731"	"2558011520"	48.64	405	462	460
"2558008737"	"2558009271"	57.72	447	499	458
"2558008744"	"2558008923"	43.96	298	400	375
"2558008746"	"2558010406"	44.2	181	175	184
"2558008756"	"2558011092"	49.28	138	166	140
"2558008758"	"2558009069"	36.67	120	116	139
"2558008764"	"2558009792"	51.42	706	752	743
"2558008766"	"2558012815"	40.77	1332	1276	1260
"2558008794"	"2558013235"	45.31	64	67	62
"2558008796"	"2558009368"	44.92	256	269	265
"2558008801"	"2558009366"	59.68	888	912	906
"2558008806"	"2558009538"	66.45	304	330	349
"2558008807"	"2558009537"	68.38	253	284	260
"2558008815"	"2558012201"	52.83	547	781	668
"2558008819"	"2558012928"	29.75	484	502	476
"2558008830"	"2558011708"	34.79	687	798	836
"2558008849"	"2558013062"	47.73	176	210	187
"2558008860"	"2558008861"	46.29	2264	2303	2247
"2558008862"	"2558008868"	60.14	572	587	650
"2558008867"	"2558008870"	44.49	1099	1113	1095
"2558008882"	"2558008883"	52.44	553	575	559
"2558008895"	"2558009494"	44.41	358	331	357
"2558008910"	"2558010619"	47.04	389	391	389
"2558008911"	"2558009489"	43.53	317	333	335
"2558008914"	"2558009472"	60.19	206	219	218
"2558008918"	"2558009041"	97.06	68	71	69
"2558008922"	"2558011400"	50	88	103	89
"2558008927"	"2558009908"	31.56	225	222	249
"2558008938"	"2558012571"	61.43	223	246	223
"2558008942"	"2558009613"	42.8	236	232	230
"2558008957"	"2558009164"	65.99	197	197	195
"2558008958"	"2558009486"	50	286	330	324
"2558008959"	"2558013317"	54.16	805	853	886
"2558008976"	"2558009259"	66.33	300	333	306
"2558009007"	"2558009479"	57.93	164	193	203
"2558009038"	"2558012822"	46.39	194	206	204
"2558009045"	"2558013307"	72.52	433	447	452
"2558009051"	"2558009591"	63.79	116	118	118
"2558009057"	"2558012729"	33.76	391	410	412
"2558009058"	"2558010478"	34.16	486	481	491
"2558009072"	"2558009073"	49.33	375	371	374
"2558009086"	"2558012958"	45.59	873	968	942
"2558009087"	"2558012731"	50.99	453	471	466
"2558009103"	"2558012623"	47.73	375	381	381
"2558009110"	"2558011953"	62.38	739	1561	1663
"2558009138"	"2558011090"	45.08	386	416	373
"2558009168"	"2558010523"	57.47	174	191	188
"2558009190"	"2558012501"	35.7	633	728	685
"2558009197"	"2558011595"	83.33	42	43	44
"2558009200"	"2558010580"	51.27	158	160	165
"2558009201"	"2558010581"	50.82	61	65	65
"2558009214"	"2558010862"	30.39	181	223	182
"2558009215"	"2558010095"	55.7	237	255	277
"2558009216"	"2558010094"	70.65	368	374	372
"2558009226"	"2558011162"	59.44	180	183	183
"2558009235"	"2558012022"	56.3	119	136	132
"2558009250"	"2558009786"	41.41	297	316	280
"2558009251"	"2558009767"	41.48	352	372	431
"2558009273"	"2558013420"	61.86	118	127	123
"2558009282"	"2558010753"	35.96	203	250	266
"2558009284"	"2558010751"	47.25	728	775	763
"2558009286"	"2558010748"	60	850	852	878
"2558009296"	"2558009300"	75	424	432	413
"2558009305"	"2558011801"	51.12	446	454	461
"2558009324"	"2558010155"	61.67	120	123	122
"2558009331"	"2558009473"	59.35	123	137	134
"2558009334"	"2558010918"	36	300	307	309
"2558009341"	"2558012423"	39.39	99	99	104
"2558009361"	"2558010613"	47.16	176	175	177
"2558009363"	"2558012778"	93.29	164	165	165
"2558009369"	"2558009377"	55	240	238	239
"2558009374"	"2558009528"	67.04	267	282	268
"2558009385"	"2558010778"	56.07	824	823	832
"2558009388"	"2558011441"	69.48	485	538	526
"2558009391"	"2558009470"	70.8	524	539	538
"2558009392"	"2558011235"	54.18	395	432	464
"2558009408"	"2558011786"	60.24	581	581	576
"2558009413"	"2558011486"	59.65	114	116	125
"2558009450"	"2558012644"	64.22	408	412	421
"2558009469"	"2558011859"	44.5	200	196	201
"2558009474"	"2558009475"	41.04	307	349	351
"2558009495"	"2558009502"	44.12	340	352	340
"2558009496"	"2558009503"	61.75	834	904	863
"2558009497"	"2558010460"	43.15	336	338	333
"2558009500"	"2558010461"	53.68	855	846	849
"2558009504"	"2558011580"	55.17	319	338	333
"2558009535"	"2558013274"	44.55	404	432	407
"2558009539"	"2558011284"	41.5	453	480	462
"2558009543"	"2558009547"	46.42	433	433	421
"2558009544"	"2558009545"	62.42	314	336	334
"2558009578"	"2558011254"	31.93	285	287	283
"2558009590"	"2558011510"	42.57	491	501	502
"2558009593"	"2558012131"	53.52	256	301	299
"2558009594"	"2558010991"	42.13	527	559	544
"2558009609"	"2558013210"	72.02	461	468	462
"2558009622"	"2558011716"	43.04	237	244	238
"2558009623"	"2558010139"	52.68	336	341	338
"2558009633"	"2558012882"	65.65	230	231	225
"2558009634"	"2558012881"	41.52	448	456	478
"2558009665"	"2558013251"	53.85	312	294	327
"2558009707"	"2558012510"	56.3	119	126	122
"2558009709"	"2558011958"	53.37	564	617	584
"2558009756"	"2558011304"	30.86	431	520	443
"2558009760"	"2558011163"	40	75	78	77
"2558009783"	"2558013105"	48.61	469	481	438
"2558009805"	"2558011099"	46.88	448	531	524
"2558009825"	"2558012864"	38.8	183	190	211
"2558009826"	"2558010943"	37.34	316	295	320
"2558009828"	"2558010818"	63.71	124	173	180
"2558009842"	"2558011172"	73.53	68	79	69
"2558009847"	"2558010937"	40	195	228	234
"2558009875"	"2558011481"	48.18	137	136	144
"2558009876"	"2558010858"	53.97	315	365	341
"2558009884"	"2558011652"	34.84	155	187	187
"2558009889"	"2558011813"	47.44	371	434	403
"2558009891"	"2558009893"	56.64	143	153	155
"2558009909"	"2558009915"	65.92	223	228	227
"2558009924"	"2558013042"	38.16	359	368	376
"2558009932"	"2558010851"	62.65	490	493	559
"2558009937"	"2558013125"	60.31	131	154	137
"2558009940"	"2558012542"	55.78	147	152	150
"2558009952"	"2558012525"	79.68	251	253	256
"2558009956"	"2558010507"	42.77	166	189	199
"2558009987"	"2558012975"	34.99	383	366	364
"2558009993"	"2558010552"	35.94	128	207	218
"2558009994"	"2558010118"	54.35	368	379	457
"2558010010"	"2558013374"	34.38	320	322	324
"2558010016"	"2558010612"	100	51	51	51
"2558010058"	"2558011709"	90.77	65	66	66
"2558010060"	"2558010386"	62.79	129	134	130
"2558010071"	"2558010629"	47.22	216	227	228
"2558010077"	"2558010627"	73.26	172	176	177
"2558010079"	"2558011609"	30.83	240	254	222
"2558010097"	"2558010929"	49.73	738	763	766
"2558010098"	"2558010928"	51.39	144	152	158
"2558010112"	"2558012242"	68.95	409	465	495
"2558010150"	"2558013183"	76.23	509	519	511
"2558010156"	"2558012075"	40.75	292	321	308
"2558010182"	"2558010647"	58.82	187	189	192
"2558010191"	"2558010873"	36.3	135	140	145
"2558010199"	"2558011392"	32.9	231	283	232
"2558010205"	"2558010634"	45.51	457	429	458
"2558010250"	"2558011898"	42.52	381	399	384
"2558010257"	"2558012703"	74.46	184	221	205
"2558010298"	"2558012192"	51.58	442	446	451
"2558010305"	"2558011703"	100	60	72	69
"2558010313"	"2558012193"	38.65	771	791	785
"2558010321"	"2558010714"	40.07	267	293	297
"2558010357"	"2558010897"	46.68	844	834	864
"2558010360"	"2558011482"	61.47	231	251	251
"2558010404"	"2558010859"	38.46	234	226	256
"2558010407"	"2558010408"	86.08	79	93	80
"2558010422"	"2558012708"	37.79	217	205	214
"2558010424"	"2558010425"	55.51	254	246	255
"2558010429"	"2558010430"	56.32	261	258	265
"2558010433"	"2558010438"	52.33	1246	1213	1230
"2558010444"	"2558010767"	37.67	454	471	497
"2558010467"	"2558012761"	98.77	81	83	83
"2558010470"	"2558012290"	31.28	195	209	199
"2558010472"	"2558012464"	41.23	228	245	276
"2558010481"	"2558013254"	35.44	158	168	176
"2558010483"	"2558013326"	52.17	253	258	253
"2558010484"	"2558013325"	60.26	229	239	250
"2558010492"	"2558011370"	39.77	342	379	368
"2558010516"	"2558013267"	68.32	202	222	231
"2558010524"	"2558010529"	61.72	209	210	210
"2558010534"	"2558011576"	51.27	197	202	208
"2558010553"	"2558011002"	67.51	871	890	874
"2558010565"	"2558012766"	42.06	214	217	215
"2558010568"	"2558013102"	57.1	310	297	311
"2558010571"	"2558010603"	39.35	155	182	185
"2558010624"	"2558011936"	90.24	82	83	83
"2558010628"	"2558012971"	34.04	282	292	287
"2558010658"	"2558013431"	41.86	485	596	581
"2558010709"	"2558012896"	43.13	211	230	215
"2558010737"	"2558012459"	37.79	471	509	479
"2558010738"	"2558012460"	70.85	223	227	225
"2558010765"	"2558012393"	33.11	299	311	338
"2558010775"	"2558012515"	67.42	267	267	271
"2558010788"	"2558010982"	32.44	447	456	455
"2558010821"	"2558013219"	32.15	423	412	420
"2558010836"	"2558011845"	44.23	624	636	623
"2558010900"	"2558012986"	30.48	420	420	421
"2558010926"	"2558012834"	45.16	310	344	314
"2558010933"	"2558011456"	54.97	151	159	146
"2558010934"	"2558013220"	61.68	334	350	336
"2558010959"	"2558013401"	40.06	347	368	357
"2558010997"	"2558012434"	43.5	600	576	574
"2558011007"	"2558011008"	91.09	101	103	114
"2558011009"	"2558011634"	51.97	610	628	616
"2558011010"	"2558011635"	59.62	473	509	512
"2558011011"	"2558011636"	47.16	405	436	375
"2558011015"	"2558013174"	76.4	161	162	162
"2558011026"	"2558013193"	43.92	148	175	162
"2558011034"	"2558012437"	45.03	362	389	443
"2558011037"	"2558011632"	65.94	323	337	332
"2558011068"	"2558012186"	60.27	73	75	79
"2558011084"	"2558011438"	56.57	99	100	115
"2558011130"	"2558011132"	65.83	360	366	361
"2558011133"	"2558012962"	52.55	274	292	307
"2558011147"	"2558011544"	75.48	310	341	322
"2558011182"	"2558012736"	41.43	70	87	84
"2558011187"	"2558012748"	67.93	421	441	432
"2558011188"	"2558012749"	76.67	270	302	304
"2558011189"	"2558012750"	84.93	272	293	288
"2558011190"	"2558012751"	70.31	357	380	360
"2558011209"	"2558012997"	31.78	236	242	241
"2558011239"	"2558011808"	32.47	616	652	677
"2558011243"	"2558013189"	77.41	788	785	756
"2558011244"	"2558012742"	88.43	743	745	743
"2558011255"	"2558011309"	36.4	445	444	437
"2558011263"	"2558011816"	38.11	244	304	294
"2558011267"	"2558011390"	42.74	248	269	275
"2558011282"	"2558011842"	47.52	505	515	500
"2558011294"	"2558012980"	37.69	390	389	389
"2558011300"	"2558011301"	67.36	144	154	147
"2558011347"	"2558011348"	47.29	387	389	381
"2558011360"	"2558012920"	57.61	927	926	950
"2558011363"	"2558012619"	45.31	245	266	258
"2558011364"	"2558013124"	74.33	705	709	709
"2558011377"	"2558012308"	34.07	226	233	223
"2558011386"	"2558011507"	46.21	844	805	940
"2558011410"	"2558012537"	74.29	354	353	356
"2558011425"	"2558011426"	61.68	334	365	346
"2558011501"	"2558013460"	38.97	136	151	154
"2558011505"	"2558012760"	69.43	566	563	568
"2558011506"	"2558012806"	69.63	349	350	346
"2558011515"	"2558012213"	57.21	229	260	241
"2558011529"	"2558012033"	45.45	99	114	105
"2558011531"	"2558012770"	33.99	306	318	315
"2558011543"	"2558011809"	95.45	66	67	67
"2558011557"	"2558011878"	89.2	176	181	177
"2558011558"	"2558011879"	87.62	105	106	124
"2558011571"	"2558011680"	34.09	1323	1330	1270
"2558011582"	"2558012974"	34.7	438	458	458
"2558011594"	"2558013237"	58.46	65	69	69
"2558011622"	"2558012874"	38.71	403	405	402
"2558011625"	"2558013180"	69.33	450	472	462
"2558011662"	"2558011760"	31.69	142	139	147
"2558011726"	"2558013363"	51.29	232	234	241
"2558011727"	"2558013362"	44.38	329	327	331
"2558011728"	"2558013361"	44.08	1064	1023	1038
"2558011729"	"2558013360"	63.36	131	135	134
"2558011731"	"2558013358"	50	224	215	232
"2558011732"	"2558013357"	36.6	377	353	363
"2558011733"	"2558013356"	52.59	232	228	222
"2558011735"	"2558013354"	74.38	121	122	126
"2558011736"	"2558013353"	76.26	139	142	145
"2558011740"	"2558013366"	47.08	616	695	720
"2558011788"	"2558012469"	56.25	240	281	276
"2558011820"	"2558012119"	62.83	191	231	219
"2558011856"	"2558012911"	90.17	356	359	360
"2558011857"	"2558012909"	41.97	305	315	317
"2558011889"	"2558013309"	64.44	315	336	328
"2558011906"	"2558012473"	34.67	150	147	176
"2558011911"	"2558013169"	50.28	360	365	340
"2558011912"	"2558011914"	31.61	503	490	492
"2558011926"	"2558011932"	45.54	560	561	581
"2558011942"	"2558011943"	39.29	112	121	123
"2558012014"	"2558013076"	46.15	182	187	185
"2558012015"	"2558013077"	63.03	119	122	121
"2558012016"	"2558013078"	47.48	377	391	399
"2558012051"	"2558012621"	34.2	193	200	215
"2558012058"	"2558012725"	42.57	686	753	826
"2558012094"	"2558013346"	58.65	208	214	230
"2558012105"	"2558012505"	55.36	932	922	920
"2558012127"	"2558012873"	38.64	339	388	390
"2558012182"	"2558013422"	41.92	835	781	830
"2558012207"	"2558013349"	45.67	208	218	225
"2558012258"	"2558013043"	32.41	216	223	220
"2558012265"	"2558012266"	59.74	77	82	81
"2558012278"	"2558012279"	38.17	241	244	248
"2558012321"	"2558012324"	33.66	413	463	498
"2558012339"	"2558012603"	30.96	239	274	266
"2558012357"	"2558012753"	69.67	389	390	390
"2558012391"	"2558012410"	52.29	218	235	217
"2558012488"	"2558012493"	37.28	169	174	183
"2558012500"	"2558012785"	40	480	486	500
"2558012503"	"2558012716"	100	83	84	101
"2558012504"	"2558013495"	96.24	133	134	134
"2558012508"	"2558013493"	87.63	97	99	100
"2558012512"	"2558013491"	81.25	48	63	58
"2558012513"	"2558013490"	73.44	64	66	68
"2558012516"	"2558013487"	88.39	155	166	161
"2558012517"	"2558012523"	48.04	102	102	103
"2558012520"	"2558013483"	69.11	123	141	113
"2558012521"	"2558013482"	87.5	160	161	161
"2558012531"	"2558012631"	91.75	194	195	195
"2558012533"	"2558012633"	93.12	247	248	248
"2558012534"	"2558012634"	64.89	94	96	95
"2558012536"	"2558012640"	71.23	146	147	147
"2558012545"	"2558012705"	82.59	293	317	333
"2558012555"	"2558012663"	71.19	177	179	179
"2558012557"	"2558012669"	94.74	95	146	145
"2558012559"	"2558012671"	78.76	518	520	521
"2558012560"	"2558012673"	83.5	103	104	111
"2558012563"	"2558012676"	82.35	561	596	564
"2558012566"	"2558012678"	61.8	89	96	102
"2558012617"	"2558013111"	33.19	226	246	248
"2558012618"	"2558013110"	36.78	174	169	181
"2558012620"	"2558012707"	32.58	310	349	364
"2558012622"	"2558012895"	34.63	283	327	314
"2558012664"	"2558013417"	44.07	270	298	286
"2558012667"	"2558012932"	70.55	343	350	355
"2558012752"	"2558013447"	52.03	148	154	149
"2558012759"	"2558012791"	42.2	218	241	227
"2558012765"	"2558012818"	61.85	325	331	332
"2558012847"	"2558012848"	48.22	645	657	687
"2558012859"	"2558012860"	45.08	315	326	336
"2558012905"	"2558012907"	65.49	226	299	289
"2558012940"	"2558012949"	55.67	291	338	308
"2558012990"	"2558013064"	40.66	396	404	398
"2558013100"	"2558013329"	83.33	222	250	235
"2558013141"	"2558013333"	70.09	224	228	228
"2558013142"	"2558013334"	54.98	422	410	426
"2558013173"	"2558013178"	66.46	158	174	159
"2558013212"	"2558013213"	45.83	408	395	398
"2558013234"	"2558013435"	41.05	95	98	93
"2558013339"	"2558013500"	41.7	446	492	536
"2558013381"	"2558013382"	100	71	73	71
